id	Resource Acquisition:Substrate uptake:aromatic acid transport	Resource Acquisition:Substrate uptake:biopolymer transport	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carboxylate transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:ion transport	Resource Acquisition:Substrate uptake:lipid transport	Resource Acquisition:Substrate uptake:N compound transport	Resource Acquisition:Substrate uptake:nucleic acid component transport	Resource Acquisition:Substrate uptake:organophosphorus transport	Resource Acquisition:Substrate uptake:osmolyte transport	Resource Acquisition:Substrate uptake:other transport	Resource Acquisition:Substrate uptake:peptide transport	Resource Acquisition:Substrate uptake:S compound transport	Resource Acquisition:Substrate uptake:secondary metabolite transport	Resource Acquisition:Substrate uptake:vitamin transport	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate assimilation:C1 compounds	Resource Acquisition:Substrate assimilation:N compounds	Resource Acquisition:Substrate assimilation:S compounds	Resource Acquisition:Substrate assimilation:P compounds	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration	Resource Use:Chemotrophy:chemolithoautotrophy	Resource Use:Phototrophy:photosystem	Resource Use:Phototrophy:pigments:core	Resource Use:Phototrophy:pigments:accessory	Stress Tolerance:General	Stress Tolerance:Specific:temperature:high	Stress Tolerance:Specific:temperature:low	Stress Tolerance:Specific:desiccation/osmotic/salt stress	Stress Tolerance:Specific:pH stress	Stress Tolerance:Specific:oxidative stress	Stress Tolerance:Specific:oxygen limitation	Stress Tolerance:Specific:envelope stress
2574179700	1	3	2	9	13	17	4	3	1	3	3	0	0	2	1	6	9	30	2	2	1	1	1	7	5	2	0	0	0	10	8	2	7	7	4	1	1
2574179788	0	3	5	7	10	15	4	2	1	2	2	0	0	0	0	3	4	30	1	3	0	1	1	2	1	2	0	0	0	10	8	3	7	3	1	0	1
2576861435	1	0	10	8	16	19	2	3	3	2	1	1	2	2	2	4	16	36	3	3	1	1	1	7	0	0	0	0	4	9	7	4	6	7	5	2	1
2582580885	0	3	5	5	8	14	3	3	1	2	3	0	1	0	2	2	21	32	3	3	1	2	2	7	0	0	0	0	4	11	8	4	8	8	5	1	1
2588253790	1	3	38	22	45	22	6	5	9	5	6	2	5	2	6	8	17	60	3	3	1	1	2	6	3	2	0	0	0	11	7	4	9	11	4	1	4
2593339262	1	3	19	12	39	26	6	6	4	4	5	0	1	2	3	3	10	37	3	2	1	1	1	5	0	0	0	0	4	13	7	4	11	10	5	1	1
2608642177	0	3	1	4	5	10	3	4	0	1	1	0	0	0	2	1	6	25	2	2	1	0	0	6	0	1	0	0	0	11	8	4	6	5	3	0	0
2619619645	0	2	4	2	7	11	2	1	1	1	0	0	1	0	1	1	23	32	1	4	0	0	0	1	0	0	0	0	0	10	7	5	4	4	2	0	1
2622736611	0	2	3	4	4	12	3	1	3	2	0	0	1	0	0	1	19	34	1	3	0	1	1	2	2	1	0	0	0	8	7	4	3	4	1	0	0
2630968719	0	0	31	13	31	18	3	5	6	2	3	1	3	2	1	7	24	57	3	3	1	2	3	4	1	1	0	0	0	8	8	6	5	7	3	1	1
2634166351	0	0	22	2	13	11	3	0	1	2	0	0	1	0	0	7	23	35	1	4	0	0	2	1	0	0	0	0	0	8	8	4	4	4	2	0	1
2636416113	1	3	17	10	50	20	6	7	6	5	4	1	1	2	5	5	11	42	3	2	1	1	2	4	4	3	0	0	0	13	7	4	12	10	4	1	1
2639762569	0	0	12	6	17	12	1	2	4	2	2	0	2	0	2	5	2	19	2	3	0	0	0	7	0	0	0	0	0	7	7	3	4	4	2	0	1
2651869762	0	0	17	6	14	19	3	3	3	1	2	1	2	0	1	5	22	46	1	4	1	1	1	7	0	1	0	0	0	10	8	3	7	9	4	2	1
2654587904	0	2	1	1	4	11	4	0	1	1	0	0	1	0	0	1	9	31	1	2	0	2	0	2	0	1	0	0	0	11	7	5	5	5	2	0	0
2663763266	0	0	31	12	31	21	3	2	3	2	2	1	3	3	0	7	26	52	3	2	1	1	3	4	0	0	0	0	2	7	7	6	5	6	2	1	1
2675903058	0	0	12	9	7	13	4	2	1	1	3	0	0	1	1	3	30	37	3	4	1	1	1	5	1	1	0	0	2	10	8	4	9	8	2	1	1
2675903225	1	0	2	6	17	15	1	1	4	2	0	0	1	1	0	4	7	30	4	4	0	1	1	1	7	2	0	0	0	9	8	3	3	5	2	1	1
2675903229	0	0	25	4	25	12	1	2	4	2	1	0	2	0	0	9	15	33	3	3	0	0	4	1	1	0	0	0	0	9	8	4	3	6	2	0	1
2681813118	0	0	2	2	8	10	0	1	0	1	0	0	0	0	0	3	2	19	5	4	0	0	0	0	7	1	0	0	0	8	6	1	4	4	2	0	1
2684622555	1	3	13	10	15	17	6	6	4	3	2	0	1	2	3	6	11	43	4	2	1	1	2	7	3	2	0	0	0	12	8	4	10	7	4	1	0
2684622644	0	0	23	8	13	18	4	2	3	1	3	0	2	1	0	4	40	47	1	4	1	1	1	5	1	1	0	0	8	10	8	3	8	10	3	1	1
2693429869	0	0	5	4	5	13	0	0	1	2	0	0	0	0	0	4	4	23	5	3	0	0	1	1	1	2	0	0	4	5	4	1	2	3	2	0	1
2695420375	1	3	14	8	16	26	7	6	4	4	4	0	1	2	6	4	5	39	3	3	1	0	1	7	6	3	0	0	0	11	8	3	8	8	3	1	0
2700989265	0	0	10	0	12	7	2	0	3	1	0	0	1	0	0	2	7	17	1	1	0	0	1	1	0	0	0	0	0	5	6	3	1	3	0	0	0
2703718701	0	0	8	4	11	15	2	2	4	1	2	1	1	2	1	1	15	29	1	2	1	1	1	4	0	1	0	0	0	9	7	3	6	7	4	2	1
2718217841	0	2	12	5	6	8	2	5	2	2	0	0	1	0	2	2	29	22	1	3	1	1	0	3	0	0	0	0	0	9	6	4	3	6	2	0	0
2721755731	1	3	7	4	20	16	4	2	3	2	3	0	0	2	3	4	7	25	2	3	1	1	1	5	0	0	0	0	0	11	7	3	7	4	3	0	1
2721755987	0	2	4	4	9	16	1	4	4	2	0	0	0	1	0	3	18	24	3	5	1	2	1	3	0	1	4	1	7	9	7	4	5	6	1	0	1
2731957965	0	0	20	6	17	19	2	1	5	2	2	0	2	1	0	7	17	53	3	3	0	0	1	3	0	0	0	0	2	10	8	6	4	6	3	1	1
2751185780	0	0	18	6	9	14	3	3	1	1	2	0	2	1	1	3	34	42	4	3	1	2	1	3	3	1	0	0	0	9	7	4	5	7	2	0	1
2751185902	1	0	5	5	15	17	1	3	3	1	1	1	2	2	2	4	16	34	2	2	1	1	1	5	1	2	0	0	4	9	8	4	3	8	4	2	1
2751186015	1	3	20	8	33	17	4	4	6	1	5	1	4	2	2	4	26	43	4	2	1	0	1	8	1	2	0	0	0	12	8	4	10	9	5	1	1
2754412321	1	3	22	10	35	15	5	5	6	1	6	1	4	2	3	4	13	43	4	2	1	1	1	8	0	1	0	0	0	13	8	4	10	10	5	1	1
2754412398	1	3	21	8	33	17	4	5	6	1	5	1	4	2	2	4	22	42	4	2	1	0	1	8	1	1	0	0	0	12	8	3	10	9	5	1	1
2754412406	1	3	22	10	35	15	5	5	7	1	6	1	4	2	3	4	14	43	4	2	1	1	1	8	0	1	0	0	0	13	8	4	10	10	5	1	1
2754412603	1	3	5	6	8	22	2	5	1	3	1	0	1	2	0	5	12	37	2	3	1	1	0	5	1	1	0	0	0	12	8	3	9	8	3	1	0
2765235856	1	3	7	5	12	18	4	2	2	3	4	0	1	0	5	2	13	38	2	2	1	2	1	7	1	2	0	0	0	10	8	5	10	8	4	1	1
2772190750	0	0	21	4	23	15	1	2	3	3	1	0	2	0	0	7	10	42	1	3	1	0	0	3	0	0	0	0	0	8	8	4	5	5	2	2	1
2775507041	0	0	23	5	19	17	1	3	4	2	0	0	2	2	1	3	38	41	3	2	1	0	2	3	1	1	0	0	0	9	8	6	4	7	2	2	1
2788499961	0	2	7	3	4	9	2	2	2	1	1	0	1	0	1	1	32	36	1	4	0	1	0	3	0	0	0	0	0	11	7	4	5	3	3	0	1
2791354873	1	3	13	10	39	18	6	5	5	4	4	0	1	2	1	4	11	37	3	2	1	0	1	5	0	2	0	0	4	12	7	4	11	9	4	1	0
2791355579	1	3	24	10	42	29	7	7	6	4	6	1	1	2	4	5	18	41	5	3	1	2	2	5	4	1	0	0	0	12	7	4	11	10	4	1	2
2802428855	1	3	2	7	16	19	5	4	3	2	1	0	0	2	2	3	5	25	2	3	1	0	0	6	5	2	0	0	0	11	8	3	6	6	4	1	0
2802429576	0	2	4	3	14	22	1	4	1	2	0	0	0	1	0	4	11	34	3	5	1	1	0	3	0	1	4	1	12	10	8	5	5	6	1	0	1
2808606851	1	3	22	11	30	16	5	5	6	1	4	1	4	2	3	5	21	45	4	2	1	1	0	8	0	2	0	0	0	13	8	4	10	8	5	1	1
2811995373	1	3	20	18	25	17	4	3	6	2	5	0	3	0	4	6	19	47	3	4	1	1	2	6	4	1	0	0	0	9	7	4	7	11	4	1	4
2814122976	1	3	7	9	16	25	6	4	3	4	2	0	1	1	4	5	6	42	4	3	1	0	2	7	4	2	0	0	0	11	8	3	7	7	3	1	0
2818991235	1	0	11	7	12	16	2	1	4	1	3	0	2	0	1	4	10	31	4	3	1	1	1	5	0	0	0	0	8	7	6	4	6	5	3	1	1
2822641076	0	0	18	13	34	22	2	3	5	3	3	0	2	1	1	7	17	48	3	3	0	1	4	4	1	2	0	0	0	8	8	6	5	6	3	1	1
2832623984	0	0	26	6	14	13	2	1	1	3	4	0	1	1	0	4	26	41	2	3	1	0	1	1	0	0	0	0	0	5	6	3	5	5	1	1	1
2837165658	0	2	29	4	9	18	2	1	1	2	4	0	0	1	0	10	26	31	2	4	0	1	3	1	0	0	0	0	0	9	8	4	7	4	1	0	1
2838923001	1	0	4	6	14	16	0	1	3	2	1	0	1	0	0	5	10	36	1	2	1	1	1	3	1	2	0	0	0	9	8	6	6	6	3	2	1
2839600416	1	3	38	22	45	22	6	5	9	5	6	2	5	2	6	8	17	60	3	3	1	1	2	6	3	2	0	0	0	11	7	4	9	12	4	1	4
2839605667	0	0	17	11	16	16	1	3	2	2	3	0	0	2	0	4	12	36	4	2	1	0	1	4	0	0	0	0	0	10	8	5	6	7	3	1	1
2839739408	0	2	3	2	5	15	2	1	0	2	0	0	0	0	0	2	9	28	2	3	1	1	0	2	1	3	0	0	0	9	6	3	4	6	3	1	0
2866505292	0	0	4	7	14	15	1	3	3	1	3	1	2	2	2	3	12	32	2	2	1	1	2	7	0	0	0	0	4	7	7	4	5	6	4	2	1
2866510393	1	0	8	7	12	13	2	3	2	1	0	0	2	0	0	5	13	22	1	3	1	0	4	6	1	1	0	0	0	9	7	4	4	3	3	0	1
2867284435	0	0	20	11	20	15	1	2	3	2	4	0	2	1	1	5	12	32	3	4	1	1	3	7	1	2	0	0	0	10	7	3	8	5	4	1	1
2882174919	0	2	5	6	5	8	1	2	1	1	0	0	1	0	1	1	28	25	1	3	0	0	1	2	0	1	0	0	0	11	7	4	5	3	2	0	0
2882319230	0	0	4	6	18	20	2	1	3	2	1	0	2	0	1	6	8	35	2	3	0	0	1	3	0	1	0	0	0	9	8	6	5	5	3	2	1
2883409860	0	2	5	3	14	22	1	4	1	2	0	0	0	2	1	4	11	32	3	5	1	1	0	3	0	1	4	1	12	9	7	5	5	6	1	0	1
2883485653	0	2	16	3	10	12	2	1	3	3	1	0	1	0	0	4	17	29	1	2	0	1	1	1	0	0	0	0	0	12	7	3	6	4	1	0	1
2884070903	0	3	8	4	4	13	2	5	0	2	0	0	1	2	3	2	33	30	2	3	1	1	0	4	0	0	0	0	0	11	7	5	6	6	4	1	3
2884239568	0	2	11	6	4	12	3	3	3	3	0	0	1	0	0	2	28	29	1	5	0	0	1	2	2	1	0	0	0	10	7	4	4	3	2	0	0
2885010903	0	3	7	4	7	18	1	3	0	3	1	0	0	0	0	5	5	33	2	3	1	1	0	5	2	1	0	0	0	12	8	3	7	9	4	1	0
2885808348	1	3	18	9	45	27	7	7	7	4	5	0	1	2	3	5	13	41	6	3	1	1	2	5	0	1	0	0	0	13	7	4	11	9	5	1	1
2888057318	0	3	3	1	4	8	1	2	1	2	1	0	1	0	1	2	18	24	2	3	1	2	0	6	0	0	1	2	6	11	8	4	6	5	1	0	1
2890107581	0	0	21	9	18	14	4	1	3	3	2	0	2	0	1	8	10	43	3	3	1	1	0	4	0	0	0	0	2	10	8	6	6	7	3	1	1
2890201742	0	0	11	12	31	13	3	2	4	1	1	1	3	1	0	7	6	47	2	2	1	0	0	3	0	0	0	0	0	10	8	6	5	5	2	1	1
2890451919	1	2	22	7	13	14	5	5	1	2	2	0	2	1	1	6	17	33	4	3	1	1	1	5	2	2	0	0	0	12	8	4	6	9	4	1	0
2891545435	0	3	12	5	5	14	2	5	0	2	2	0	0	0	0	4	16	32	2	3	1	0	0	5	1	1	1	2	5	10	8	4	6	7	3	1	0
2894602602	1	3	3	6	10	17	3	5	2	3	2	0	0	2	3	3	7	29	2	2	1	1	1	7	0	1	0	0	0	11	8	2	9	8	3	0	1
2895623778	0	0	14	3	14	9	1	0	2	1	1	0	1	0	0	6	6	27	2	3	0	1	2	2	0	0	0	0	2	8	7	4	4	2	2	0	1
2897468600	0	3	4	5	5	14	4	3	0	3	0	0	1	1	3	3	22	36	2	3	1	1	2	2	0	1	0	0	5	10	8	5	4	8	3	1	1
2898133256	0	3	4	3	10	15	3	2	0	3	0	0	1	1	2	3	25	36	3	3	1	2	2	2	0	1	0	0	5	10	8	5	4	9	3	1	1
2898334252	0	3	11	8	4	9	4	4	1	2	0	0	1	2	2	3	22	30	2	3	1	1	1	7	0	0	0	0	0	12	8	3	6	7	4	1	0
2898615884	0	0	15	3	9	8	3	4	1	2	1	0	1	1	0	1	14	25	1	3	1	1	1	3	0	1	0	0	0	6	6	3	6	6	1	0	1
2898631135	0	0	20	4	10	14	3	2	2	2	2	0	1	1	1	4	23	43	4	4	1	2	1	5	1	1	0	0	0	8	8	3	6	8	2	0	1
2899037451	1	0	6	6	10	18	1	2	3	2	3	0	0	1	1	4	10	27	2	2	1	0	1	4	0	0	0	0	4	9	7	3	7	7	4	1	1
2899678206	1	3	6	4	6	9	2	5	1	2	1	0	1	1	1	3	21	30	3	3	1	1	0	7	0	1	0	0	4	12	8	4	7	7	5	1	1
2899721766	1	3	3	8	9	15	4	5	1	1	1	0	0	2	2	6	4	32	2	2	1	0	0	7	4	1	0	0	0	10	8	2	5	6	3	0	1
2904606771	1	0	9	8	29	20	0	3	5	2	1	1	3	2	0	9	6	46	1	3	1	1	0	3	0	1	0	0	0	10	8	6	6	6	2	1	1
2908374211	0	0	16	16	32	13	3	4	5	3	3	0	2	1	0	8	13	45	3	3	0	1	4	3	1	2	0	0	0	9	8	6	6	7	3	1	1
2909394955	0	2	3	2	14	18	1	4	0	2	0	0	0	1	0	3	6	25	3	4	1	1	0	3	0	0	3	1	7	8	6	4	4	6	1	0	1
2910016530	0	0	8	2	7	9	2	2	0	3	0	0	0	0	0	3	5	21	2	4	1	0	0	2	0	0	4	1	7	8	7	3	3	4	1	0	1
2910186172	0	2	1	1	6	13	2	0	0	1	0	0	1	0	0	0	13	26	1	2	0	1	0	2	0	0	0	0	0	10	7	5	3	3	2	0	0
2910361430	0	2	4	1	6	10	2	1	1	2	1	0	1	0	1	1	29	36	1	3	1	1	1	3	0	0	0	0	0	10	7	3	5	4	2	0	0
2911324268	0	3	4	2	8	11	1	1	1	2	0	0	1	0	2	2	15	26	2	2	1	1	0	6	0	0	0	0	4	10	8	4	5	5	3	0	1
2911933690	1	3	10	8	11	18	4	6	4	3	3	0	2	2	2	7	5	36	3	3	1	1	0	8	0	0	0	0	0	11	8	2	10	9	4	1	2
2914460412	0	2	7	1	13	20	1	4	2	2	0	0	0	1	1	3	20	31	3	4	1	0	0	3	0	0	3	1	11	10	7	4	5	5	2	0	1
2915591067	1	0	17	9	33	22	3	3	4	2	3	0	3	1	2	6	15	46	2	2	1	0	2	3	0	2	0	0	0	12	8	6	8	6	4	2	1
2918608312	1	3	24	6	7	22	3	6	0	3	3	0	2	2	1	5	22	39	2	3	1	1	2	7	0	0	0	0	0	13	8	4	9	9	4	1	0
2918655624	1	3	9	10	31	13	5	2	4	1	4	0	1	2	3	4	5	29	2	3	1	1	2	5	0	0	0	0	0	10	7	3	8	5	3	0	1
2919119836	1	3	22	6	10	23	3	8	1	3	4	0	2	2	1	5	21	36	5	3	1	1	0	7	2	2	0	0	0	12	8	5	10	9	3	1	0
2926017549	1	0	18	8	16	18	2	2	3	1	1	0	2	0	1	4	21	30	4	4	1	0	1	5	0	0	0	0	0	8	7	3	7	7	3	1	1
2926303792	0	0	29	6	16	18	2	2	4	3	1	0	1	2	0	4	31	37	2	3	1	1	2	3	1	1	0	0	0	10	8	6	5	4	3	2	1
637000076	0	0	22	2	18	10	2	2	2	1	1	0	1	0	0	6	30	33	3	3	0	0	5	1	1	0	0	0	0	9	8	4	4	6	1	0	1
637000081	1	3	11	4	11	15	4	5	4	2	2	0	2	0	1	4	18	38	3	3	1	2	1	5	5	0	0	0	0	12	7	4	8	7	5	1	4
638341184	0	3	3	6	10	21	4	5	1	3	1	0	1	0	1	4	7	32	3	3	1	0	0	5	3	1	1	2	5	12	8	5	7	10	3	1	0
640427132	1	3	13	8	47	21	7	8	6	5	4	0	1	2	4	5	15	38	3	2	1	0	1	7	0	2	0	0	0	13	7	4	11	10	5	1	0
641228504	0	0	12	2	8	13	2	1	1	1	2	1	1	0	1	3	15	31	0	3	1	1	1	4	1	2	0	0	8	9	7	4	8	6	2	1	1
641522635	0	3	12	8	9	14	3	6	1	3	3	0	0	1	0	2	17	33	6	3	1	1	0	7	5	1	0	0	0	13	8	3	7	8	5	1	2
642555121	0	3	2	5	3	12	2	1	1	2	0	0	0	0	0	0	5	21	2	3	0	2	0	3	0	2	1	6	9	10	7	4	5	3	2	0	0
643886196	0	3	1	4	9	8	2	2	0	2	3	0	0	0	0	1	4	25	1	4	0	0	2	0	4	1	0	0	0	11	8	2	7	3	2	0	0
646564579	0	0	21	1	9	7	2	1	3	2	0	0	0	0	0	8	20	30	2	3	0	0	3	1	1	0	0	0	0	9	8	3	4	4	1	0	1
649633048	0	0	21	8	24	10	3	3	4	2	3	0	2	0	0	6	17	44	1	3	1	1	2	3	0	1	0	0	0	10	8	4	6	7	3	2	1
649990020	0	0	2	6	1	7	0	1	2	2	0	0	0	0	0	1	14	18	4	2	0	0	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0
